"";"cod_com";"COMUNA";"ID_MANZ";"MANZ_EN";"ZONA";"ibt";"dim_acc";"iav";"icul";"idep";"isal";"iser";"ise";"dim_amb";"iata";"icv";"dim_soc";"ivi";"isv";"iej";"irh";"iem";"ipj";"dim_seg";"igpe";"igpr";"ilpe";"ilpr";"AREA";"TOTAL_V";"HOG_N";"PERSONAS";"E0A5";"E6A14";"E4A18";"E0A18";"E15A24";"E65YMAS"
"733";13114;13114;"13114081001017";"URBANO";"13114081001";0,806187652472896;0,75155813101381;19,3021663373754;0,102772609011168;1,37134894209265;0,362338746212381;0,678095412964711;0,987706728586573;0,448031035726608;14,6725120544434;0;0,867557852657018;1;1;15,9;0,925925925925926;0,95;1;0,946559578477469;0,9696;0,9153;0,9707;0,9674;7997,02484151535;29;27;79;3;10;16;17;7;19
"734";13114;13114;"13114081001018";"URBANO";"13114081001";0,773801480486013;0,747650269939756;19,0556403891956;0,0996184952083111;1,35108655672255;0,358414365768076;0,671831362934647;0,979008135498034;0,454219847603416;14,5414543151855;0;0,796537898058155;1;1;15,6;0,891891891891892;0,951612903225806;0,875;0,946559578477469;0,9696;0,9153;0,9707;0,9674;11663,6645006716;40;37;116;6;15;24;27;16;17
"735";13114;13114;"13114081001019";"URBANO";"13114081001";0,797235820088935;0,744051401736735;18,4674034648172;0,0972465436681517;1,30083509686579;0,354109751796673;0,670696728707242;0,988172311269615;0,440589454717506;14,8731632232666;0,033281040307166;0,863506077336523;1;1;17,4;0,9375;0,954545454545455;0,888888888888889;0,946559578477469;0,9696;0,9153;0,9707;0,9674;5244,82172008138;16;16;47;2;4;7;8;9;10
"736";13114;13114;"13114081001020";"URBANO";"13114081001";0,793750850132278;0,739850073862668;19,3173196266955;0,0961912228405907;1,37218940657514;0,34965315407352;0,648776904691225;0,894752942961793;0,470563960288156;14,5295963287354;4,7367520648839;0,819669990441318;1;1;14,6;0,818181818181818;1;1;0,957225708483507;0,9775;0,9285;0,9776;0,9766;11626,7327000343;22;22;65;5;5;8;13;11;20
"737";13114;13114;"13114081001021";"URBANO";"13114081001";0,809676883008014;0,7364393297049;19,2914810965568;0,0930919348688779;1,40233422761344;0,349660030548427;0,638366676355827;0,869650599682478;0,494747350869888;14,7350234985352;20,6647845477508;0,832700031001959;1;1;16,5;0,764705882352941;1;1;0,957225708483507;0,9775;0,9285;0,9776;0,9766;5178,26739629474;17;17;55;7;8;13;19;7;9
"738";13114;13114;"13114081001022";"URBANO";"13114081001";0,793629265520427;0,741999431982759;19,0543873953676;0,0951121660024657;1,35749736680468;0,349539900571651;0,662542850192702;0,95272435298675;0,438616141062953;14,9113531112671;0;0,859876520639961;1;1;16,1;0,909090909090909;0,944444444444444;1;0,946559578477469;0,9696;0,9153;0,9707;0,9674;6344,85510167433;22;22;61;2;5;8;9;5;13
"739";13114;13114;"13114081001023";"URBANO";"13114081001";0,780239630015494;0,746349232762934;19,3167993015431;0,0961815394572817;1,37596075569476;0,353960971968292;0,670863277531761;0,990188420911973;0,432839095020075;15,4361848831177;2,7362987065877;0,832884531725346;1;1;15,6;0,857142857142857;0,958333333333333;1;0,946559578477469;0,9696;0,9153;0,9707;0,9674;9164,56840903405;29;28;87;7;6;10;17;10;16
"740";13114;13114;"13114081001024";"URBANO";"13114081001";0,80689388053267;0,738634135941219;19,886617568956;0,0933053048895026;1,43400360864929;0,353981924983389;0,636461599929766;0,865680206604896;0,47700040148353;14,9438352584839;14,6160784936582;0,842345306931176;1;1;16,3;0,851851851851852;0,954545454545455;1;0,957225708483507;0,9775;0,9285;0,9776;0,9766;8844,41340868128;28;27;91;5;14;23;24;9;19
"741";13114;13114;"13114081001025";"URBANO";"13114081001";0,826922077428742;0,737505438763151;19,5774343154966;0,0952927881786302;1,41854893865359;0,354162186929971;0,63820328402567;0,836780835153628;0,500495248110402;13,9883413314819;5,66098788250365;0,86248860574399;1;1;16;0,916666666666667;0,945945945945946;1;0,957225708483507;0,9775;0,9285;0,9776;0,9766;7504,51090953435;25;24;86;9;6;10;19;15;19
"742";13114;13114;"13114081001026";"URBANO";"13114081001";0,862444840325269;0,738839013944074;19,8740149245489;0,0953562342200912;1,44772296067829;0,35731974098248;0,637499179765587;0,834334048711593;0,580718631236565;13,5965061187744;73,7299539799036;0,856328002849997;1;0,980657640232108;15,8;0,914893617021277;0,956043956043956;1;0,957225708483507;0,9775;0,9285;0,9776;0,9766;26609,8280129223;47;47;177;5;27;44;41;17;37
